Country,total_player_count,all_master_player_count,titled_female_player_count,rating_sum,CM_rating_sum,FM_rating_sum,IM_rating_sum,GM_rating_sum,WCM_rating_sum,WFM_rating_sum,WIM_rating_sum,WGM_rating_sum,rating_average,CM_rating_average,FM_rating_average,IM_rating_average,GM_rating_average,WCM_rating_average,WFM_rating_average,WIM_rating_average,WGM_rating_average,CM_count,FM_count,IM_count,GM_count,WCM_count,WFM_count,WIM_count,WGM_count,highest_rating,highest_player,population
Gambia,25,4,0,9807.0,5993.0,2069.0,0,0,0,0,0,0,0,1997.67,2069.0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1745.0,"Aziz, Matthew Luke",2422712
Rwanda,51,5,2,10765.0,5614.0,0,0,0,1525.0,1732.0,0,0,2153.0,1871.33,0,0,0,1525.0,1732.0,0,0,3,0,0,0,1,1,0,0,1894.0,"Barajiginywa, Anastase",14104969
Dem. Rep. Congo,12,2,0,5532.0,0,3772.0,0,0,0,0,0,0,0,0,1886.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1760.0,Batakafwa Biabu Christophe,0
Guernsey,31,11,2,20731.0,14973.0,1975.0,0,0,1860.0,1923.0,0,0,1884.64,1871.62,1975.0,0,0,1860.0,1923.0,0,0,8,1,0,0,1,1,0,0,2065.0,"Holland, Christopher",0
San Marino,25,7,0,15170.0,7753.0,5675.0,0,0,0,0,0,0,2167.14,1938.25,1891.67,0,0,0,0,0,0,4,3,0,0,0,0,0,0,1971.0,"Volpinari, Danilo",34132
Gabon,15,2,0,5617.0,1795.0,2142.0,0,0,0,0,0,0,0,1795.0,2142.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1947.0,"Koumba, Mounguen Jose Evrard",2469296
Vanuatu,32,2,1,4849.0,1817.0,0,0,0,1584.0,0,0,0,0,1817.0,0,0,0,1584.0,0,0,0,1,0,0,0,1,0,0,0,1827.0,Tasso Jayson,321409
Burkina Faso,18,0,0,1609.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800.0,"Lefebvre, Aurelien Tegawende",24070553
Liechtenstein,38,8,1,17403.0,8190.0,5897.0,0,0,1779.0,0,0,0,2175.38,2047.5,1965.67,0,0,1779.0,0,0,0,4,3,0,0,1,0,0,0,2229.0,"Ferster, Fabian",40900
Laos,34,3,2,6443.0,1723.0,0,0,0,3251.0,0,0,0,0,1723.0,0,0,0,1625.5,0,0,0,1,0,0,0,2,0,0,0,2132.0,"Suelo, Roberto Jr.",7647000
Cambodia,14,3,0,7498.0,1619.0,4367.0,0,0,0,0,0,0,0,1619.0,2183.5,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2032.0,"Schain, Randolph",17577760
British Virgin Islands,7,0,0,1751.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1751.0,"Christopher, Art",0
Mann,23,2,0,6329.0,0,2278.0,2229.0,0,0,0,0,0,0,0,2278.0,2229.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1961.0,"Sipos, Silvester",0
Saint Vincent and the Grenadines,8,2,0,3802.0,1880.0,1922.0,0,0,0,0,0,0,0,1880.0,1922.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1922.0,Enemchukwu Chinedu Benjamin,110872
Greenland,3,0,0,1858.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1858.0,"Dahl, Hans-Christian",0
Equatorial Guinea,14,1,0,3983.0,0,2352.0,0,0,0,0,0,0,0,0,2352.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2352.0,"Mompel Ferruz, Xavier",1668768
Papua New Guinea,12,6,0,11537.0,5857.0,5680.0,0,0,0,0,0,0,1922.83,1952.33,1893.33,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1923.0,"Fancy, Stuart",11781559
NON,3,2,0,5129.0,0,0,0,5129.0,0,0,0,0,0,0,0,0,2564.5,0,0,0,0,0,0,0,2,0,0,0,0,2558.0,"Gareyev, Timur",0
Tonga,3,0,0,1448.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1466.0,Tonutonu Donald,100179
Grenada,5,0,0,1531.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1848.0,Renniel Gilbert,109021
Saint Kitts and Nevis,3,1,1,3039.0,0,0,0,0,1531.0,0,0,0,0,0,0,0,0,1531.0,0,0,0,0,0,0,0,1,0,0,0,1620.0,"Selkridge, Alanderson",51320
Niger,1,0,0,1629.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629.0,"Yacouba, Souley Moussa",26312034
